"","Vendedor","Data","Distância total percorrida (Em km)"
"81","A253","2021-09-07",8.58
"82","A255","2021-09-07",4.73
"83","A287","2021-09-07",8
"84","A302","2021-09-07",6.66
"85","A304","2021-09-07",4.57
"86","A305","2021-09-07",0
"87","A306","2021-09-07",8.05
"88","A307","2021-09-07",39.9
"89","A334","2021-09-07",15.57
"90","A364","2021-09-07",0
"91","A365","2021-09-07",0
"92","A366","2021-09-07",0
"93","A368","2021-09-07",0
"94","A378","2021-09-07",0
"95","A379","2021-09-07",0
"96","A382","2021-09-07",0
"97","A402","2021-09-07",0
"98","A405","2021-09-07",0
"99","A406","2021-09-07",0
"100","A408","2021-09-07",0
"101","A410","2021-09-07",0
"102","A417","2021-09-07",0
"103","A422","2021-09-07",0
"104","A429","2021-09-07",44.78
"105","A431","2021-09-07",0
"106","A432","2021-09-07",0
"107","A433","2021-09-07",17.24
"108","A445","2021-09-07",0
"109","A446","2021-09-07",0
"110","A460","2021-09-07",0
"111","A466","2021-09-07",0
"112","A469","2021-09-07",0
"113","A510","2021-09-07",0
"114","A511","2021-09-07",3.4
"115","A544","2021-09-07",6.71
"116","A546","2021-09-07",0
"117","A547","2021-09-07",0
"118","A605","2021-09-07",4.8
"119","A606","2021-09-07",60.3
"120","A611","2021-09-07",0
"121","A613","2021-09-07",0
"122","A614","2021-09-07",0
"123","A674","2021-09-07",24.76
"124","A680","2021-09-07",50.97
"125","A711","2021-09-07",5.02
"126","A712","2021-09-07",3.83
"127","A713","2021-09-07",11.12
"128","A714","2021-09-07",50.73
"129","A715","2021-09-07",39.2
"130","A716","2021-09-07",5.66
"131","A717","2021-09-07",22.91
"132","A718","2021-09-07",13.5
"133","A720","2021-09-07",5.07
"134","A721","2021-09-07",145.51
"135","A722","2021-09-07",7.17
"136","A723","2021-09-07",21.63
"137","A724","2021-09-07",9.32
"138","A725","2021-09-07",10.91
"139","A727","2021-09-07",19.69
"140","A728","2021-09-07",2.88
"141","A729","2021-09-07",0.2
"142","A730","2021-09-07",12.8
"143","A732","2021-09-07",7.23
"144","A733","2021-09-07",0
"145","A736","2021-09-07",4.85
"146","A738","2021-09-07",0
"147","A739","2021-09-07",0
"148","A740","2021-09-07",4.4
"149","A741","2021-09-07",0
"150","A742","2021-09-07",0
"151","A744","2021-09-07",0
"152","A745","2021-09-07",0
"153","A748","2021-09-07",0
"154","A750","2021-09-07",0
"155","A751","2021-09-07",0
"156","A756","2021-09-07",0
"157","A785","2021-09-07",0
"158","A786","2021-09-07",7.05
"159","A793","2021-09-07",0
"160","A796","2021-09-07",5.82
"161","A797","2021-09-07",9.65
"162","A798","2021-09-07",59.62
"163","A801","2021-09-07",5.68
"164","A802","2021-09-07",27.63
"165","A804","2021-09-07",0
"166","A838","2021-09-07",6.2
"167","A839","2021-09-07",0
"168","A841","2021-09-07",0
"169","A842","2021-09-07",0
"170","A843","2021-09-07",0
"171","A844","2021-09-07",0
"172","A845","2021-09-07",0
"173","A850","2021-09-07",0
"174","A851","2021-09-07",0
"175","A852","2021-09-07",2.87
"176","A853","2021-09-07",0
"177","A855","2021-09-07",6.06
"178","A856","2021-09-07",58.78
"179","A858","2021-09-07",6.06
"180","A859","2021-09-07",0
"181","A995","2021-09-07",0
"182","A997","2021-09-07",0
"183","A999","2021-09-07",23.56
"184","A001","2021-09-08",54.13
"185","A002","2021-09-08",26.21
"186","A003","2021-09-08",37.46
"187","A005","2021-09-08",6.26
"188","A007","2021-09-08",9.16
"189","A008","2021-09-08",17.83
"190","A009","2021-09-08",4.25
"191","A010","2021-09-08",2.79
"192","A011","2021-09-08",28.43
"193","A012","2021-09-08",24.9
"194","A013","2021-09-08",28.73
"195","A014","2021-09-08",17.54
"196","A015","2021-09-08",8.6
"197","A016","2021-09-08",48.2
"198","A017","2021-09-08",17.42
"199","A018","2021-09-08",19.59
"200","A019","2021-09-08",7.75
"201","A020","2021-09-08",2.37
"202","A021","2021-09-08",2.26
"203","A036","2021-09-08",25.88
"204","A037","2021-09-08",29.59
"205","A038","2021-09-08",23.83
"206","A039","2021-09-08",46.71
"207","A041","2021-09-08",13.34
"208","A042","2021-09-08",3.61
"209","A043","2021-09-08",7.25
"210","A044","2021-09-08",9.62
"211","A046","2021-09-08",7.63
"212","A047","2021-09-08",3.16
"213","A048","2021-09-08",4.24
"214","A049","2021-09-08",6.16
"215","A051","2021-09-08",10.37
"216","A053","2021-09-08",19.56
"217","A054","2021-09-08",6.09
"218","A056","2021-09-08",2.27
"219","A057","2021-09-08",28.17
"220","A059","2021-09-08",26.16
"221","A060","2021-09-08",6.54
"222","A061","2021-09-08",4.83
"223","A062","2021-09-08",3.13
"224","A063","2021-09-08",9.12
"225","A064","2021-09-08",8.12
"226","A065","2021-09-08",27.88
"227","A066","2021-09-08",22.1
"228","A067","2021-09-08",12.82
"229","A068","2021-09-08",6
"230","A069","2021-09-08",4.47
"231","A070","2021-09-08",6.64
"232","A071","2021-09-08",8.73
"233","A073","2021-09-08",8.25
"234","A074","2021-09-08",5.86
"235","A075","2021-09-08",4.3
"236","A076","2021-09-08",6.48
"237","A077","2021-09-08",6.45
"238","A078","2021-09-08",13.95
"239","A079","2021-09-08",18.05
"240","A080","2021-09-08",21.94
"241","A081","2021-09-08",76.73
"242","A082","2021-09-08",19.41
"243","A083","2021-09-08",17.21
"244","A084","2021-09-08",38.88
"245","A095","2021-09-08",0
"246","A098","2021-09-08",0
"247","A099","2021-09-08",0
"248","A170","2021-09-08",6.31
"249","A190","2021-09-08",29.49
"250","A192","2021-09-08",15.05
"251","A193","2021-09-08",44.62
"252","A194","2021-09-08",18.07
"253","A195","2021-09-08",3.74
"254","A196","2021-09-08",19.03
"255","A209","2021-09-08",3.12
"256","A225","2021-09-08",0
"257","A227","2021-09-08",5.07
"258","A230","2021-09-08",2.47
"259","A233","2021-09-08",0
"260","A235","2021-09-08",2.4
"261","A243","2021-09-08",2.53
"262","A244","2021-09-08",2.33
"263","A252","2021-09-08",0
"264","A253","2021-09-08",27.73
"265","A255","2021-09-08",9.45
"266","A287","2021-09-08",43.9
"267","A302","2021-09-08",9.68
"268","A304","2021-09-08",17.82
"269","A305","2021-09-08",0
"270","A306","2021-09-08",22.79
"271","A307","2021-09-08",19.79
"272","A334","2021-09-08",5.6
"273","A364","2021-09-08",0
"274","A365","2021-09-08",0
"275","A366","2021-09-08",0
"276","A368","2021-09-08",0
"277","A378","2021-09-08",0
"278","A379","2021-09-08",0
"279","A382","2021-09-08",0
"280","A402","2021-09-08",0
"281","A405","2021-09-08",0
"282","A406","2021-09-08",0
"283","A408","2021-09-08",0
"284","A410","2021-09-08",0
"285","A417","2021-09-08",0
"286","A422","2021-09-08",0
"287","A429","2021-09-08",98.55
"288","A431","2021-09-08",0
"289","A432","2021-09-08",0
"290","A433","2021-09-08",8.81
"291","A445","2021-09-08",0
"292","A446","2021-09-08",0
"293","A460","2021-09-08",0
"294","A466","2021-09-08",0
"295","A469","2021-09-08",0
"296","A510","2021-09-08",0
"297","A511","2021-09-08",3.93
"298","A544","2021-09-08",11.38
"299","A546","2021-09-08",0
"300","A547","2021-09-08",0
"301","A605","2021-09-08",12.83
"302","A606","2021-09-08",65.86
"303","A611","2021-09-08",0
"304","A613","2021-09-08",0
"305","A614","2021-09-08",0
"306","A674","2021-09-08",59.18
"307","A680","2021-09-08",57.34
"308","A711","2021-09-08",18.45
"309","A712","2021-09-08",3.54
"310","A713","2021-09-08",5.8
"311","A714","2021-09-08",54.44
"312","A715","2021-09-08",43.73
"313","A716","2021-09-08",4.99
"314","A717","2021-09-08",20.33
"315","A718","2021-09-08",15.25
"316","A720","2021-09-08",19.27
"317","A721","2021-09-08",0.41
"318","A722","2021-09-08",10.91
"319","A723","2021-09-08",19.94
"320","A724","2021-09-08",11.46
"321","A725","2021-09-08",6.48
"322","A727","2021-09-08",16.11
"323","A728","2021-09-08",3.47
"324","A729","2021-09-08",2.32
"325","A730","2021-09-08",11.61
"326","A732","2021-09-08",4.87
"327","A733","2021-09-08",0
"328","A736","2021-09-08",5.36
"329","A738","2021-09-08",0
"330","A739","2021-09-08",0
"331","A740","2021-09-08",0
"332","A741","2021-09-08",0
"333","A742","2021-09-08",0
"334","A744","2021-09-08",0
"335","A745","2021-09-08",0
"336","A748","2021-09-08",0
"337","A750","2021-09-08",0
"338","A751","2021-09-08",0
"339","A756","2021-09-08",0
"340","A785","2021-09-08",4.07
"341","A786","2021-09-08",17.26
"342","A793","2021-09-08",0
"343","A796","2021-09-08",17.38
"344","A797","2021-09-08",35.45
"345","A798","2021-09-08",23.59
"346","A801","2021-09-08",6.66
"347","A802","2021-09-08",12.63
"348","A804","2021-09-08",0
"349","A838","2021-09-08",12.69
"350","A839","2021-09-08",0
"351","A841","2021-09-08",0
"352","A842","2021-09-08",0
"353","A843","2021-09-08",0
"354","A844","2021-09-08",0
"355","A845","2021-09-08",0
"356","A850","2021-09-08",0
"357","A851","2021-09-08",0
"358","A852","2021-09-08",5.45
"359","A853","2021-09-08",25.74
"360","A855","2021-09-08",10.85
"361","A856","2021-09-08",7.05
"362","A858","2021-09-08",12.18
"363","A859","2021-09-08",0
"364","A995","2021-09-08",0
"365","A997","2021-09-08",0
"366","A999","2021-09-08",23.17
"367","A001","2021-09-09",26.66
"368","A002","2021-09-09",24.76
"369","A003","2021-09-09",5.89
"370","A005","2021-09-09",12.18
"371","A007","2021-09-09",0
"372","A008","2021-09-09",25.56
"373","A009","2021-09-09",2.87
"374","A010","2021-09-09",4.67
"375","A011","2021-09-09",4.78
"376","A012","2021-09-09",23.06
"377","A013","2021-09-09",11.07
"378","A014","2021-09-09",10.06
"379","A015","2021-09-09",8.45
"380","A016","2021-09-09",4.79
"381","A017","2021-09-09",10.94
"382","A018","2021-09-09",16.57
"383","A019","2021-09-09",26.49
"384","A020","2021-09-09",10.87
"385","A021","2021-09-09",6.79
"386","A036","2021-09-09",5.87
"387","A037","2021-09-09",23.74
"388","A038","2021-09-09",7.83
"389","A039","2021-09-09",20.3
"390","A041","2021-09-09",16
"391","A042","2021-09-09",3.77
"392","A043","2021-09-09",4.46
"393","A044","2021-09-09",8.7
"394","A046","2021-09-09",6.14
"395","A047","2021-09-09",13.55
"396","A048","2021-09-09",3.14
"397","A049","2021-09-09",5.06
"398","A051","2021-09-09",17.76
"399","A053","2021-09-09",18.58
"400","A054","2021-09-09",7.79
"401","A056","2021-09-09",0
"402","A057","2021-09-09",11.38
"403","A059","2021-09-09",16.68
"404","A060","2021-09-09",16.84
"405","A061","2021-09-09",5.82
"406","A062","2021-09-09",9.3
"407","A063","2021-09-09",5.85
"408","A064","2021-09-09",23.24
"409","A065","2021-09-09",21.44
"410","A066","2021-09-09",28.11
"411","A067","2021-09-09",7.82
"412","A068","2021-09-09",14.26
"413","A069","2021-09-09",6.25
"414","A070","2021-09-09",6.26
"415","A071","2021-09-09",8.93
"416","A073","2021-09-09",12.09
"417","A074","2021-09-09",8.33
"418","A075","2021-09-09",3.73
"419","A076","2021-09-09",8.82
"420","A077","2021-09-09",4.05
"421","A078","2021-09-09",8.62
"422","A079","2021-09-09",30.84
"423","A080","2021-09-09",77.18
"424","A081","2021-09-09",50.32
"425","A082","2021-09-09",3.22
"426","A083","2021-09-09",16.28
"427","A084","2021-09-09",21.79
"428","A095","2021-09-09",0
"429","A098","2021-09-09",0
"430","A099","2021-09-09",0
"431","A170","2021-09-09",5.95
"432","A190","2021-09-09",29.26
"433","A192","2021-09-09",7.41
"434","A193","2021-09-09",22.71
"435","A194","2021-09-09",26.66
"436","A195","2021-09-09",5.45
"437","A196","2021-09-09",21.19
"438","A209","2021-09-09",10.19
"439","A225","2021-09-09",0
"440","A227","2021-09-09",13.81
"441","A230","2021-09-09",1.42
"442","A233","2021-09-09",0
"443","A235","2021-09-09",30.51
"444","A243","2021-09-09",1.56
"445","A244","2021-09-09",5.29
"446","A252","2021-09-09",0
"447","A253","2021-09-09",5.76
"448","A255","2021-09-09",13.91
"449","A287","2021-09-09",13.18
"450","A302","2021-09-09",16.75
"451","A304","2021-09-09",4.06
"452","A305","2021-09-09",0
"453","A306","2021-09-09",61.83
"454","A307","2021-09-09",62.75
"455","A334","2021-09-09",8.59
"456","A364","2021-09-09",0
"457","A365","2021-09-09",0
"458","A366","2021-09-09",0
"459","A368","2021-09-09",0
"460","A378","2021-09-09",0
"461","A379","2021-09-09",0
"462","A382","2021-09-09",0
"463","A402","2021-09-09",0
"464","A405","2021-09-09",0
"465","A406","2021-09-09",0
"466","A408","2021-09-09",0
"467","A410","2021-09-09",0
"468","A417","2021-09-09",0
"469","A422","2021-09-09",0
"470","A429","2021-09-09",34.41
"471","A431","2021-09-09",0
"472","A432","2021-09-09",0
"473","A433","2021-09-09",14.83
"474","A445","2021-09-09",0
"475","A446","2021-09-09",0
"476","A460","2021-09-09",0
"477","A466","2021-09-09",0
"478","A469","2021-09-09",0
"479","A510","2021-09-09",0
"480","A511","2021-09-09",3.48
"481","A544","2021-09-09",4.85
"482","A546","2021-09-09",0
"483","A547","2021-09-09",0
"484","A605","2021-09-09",4.46
"485","A606","2021-09-09",12.25
"486","A611","2021-09-09",0
"487","A613","2021-09-09",0
"488","A614","2021-09-09",0
"489","A674","2021-09-09",20.72
"490","A680","2021-09-09",4.24
"491","A711","2021-09-09",4.09
"492","A712","2021-09-09",3.84
"493","A713","2021-09-09",7.86
"494","A714","2021-09-09",40.48
"495","A715","2021-09-09",28.14
"496","A716","2021-09-09",9.3
"497","A717","2021-09-09",26.07
"498","A718","2021-09-09",19.09
"499","A720","2021-09-09",6.35
"500","A721","2021-09-09",0
"501","A722","2021-09-09",14.55
"502","A723","2021-09-09",22.76
"503","A724","2021-09-09",11.31
"504","A725","2021-09-09",12.93
"505","A727","2021-09-09",15.35
"506","A728","2021-09-09",3.74
"507","A729","2021-09-09",3.63
"508","A730","2021-09-09",9.68
"509","A732","2021-09-09",5.87
"510","A733","2021-09-09",0
"511","A736","2021-09-09",8.08
"512","A738","2021-09-09",0
"513","A739","2021-09-09",0
"514","A740","2021-09-09",0
"515","A741","2021-09-09",0
"516","A742","2021-09-09",0
"517","A744","2021-09-09",0
"518","A745","2021-09-09",0
"519","A748","2021-09-09",0
"520","A750","2021-09-09",0
"521","A751","2021-09-09",0
"522","A756","2021-09-09",0
"523","A785","2021-09-09",10.98
"524","A786","2021-09-09",4.18
"525","A793","2021-09-09",0
"526","A796","2021-09-09",6.89
"527","A797","2021-09-09",4.68
"528","A798","2021-09-09",6.05
"529","A801","2021-09-09",8.53
"530","A802","2021-09-09",29.84
"531","A804","2021-09-09",0
"532","A838","2021-09-09",2.25
"533","A839","2021-09-09",0
"534","A841","2021-09-09",0
"535","A842","2021-09-09",0
"536","A843","2021-09-09",0
"537","A844","2021-09-09",0
"538","A845","2021-09-09",0
"539","A850","2021-09-09",0
"540","A851","2021-09-09",0
"541","A852","2021-09-09",9.64
"542","A853","2021-09-09",4.11
"543","A855","2021-09-09",4.35
"544","A856","2021-09-09",10.31
"545","A858","2021-09-09",12.38
"546","A859","2021-09-09",0
"547","A995","2021-09-09",0
"548","A997","2021-09-09",0
"549","A999","2021-09-09",7.79
"550","A001","2021-09-10",40.12
"551","A002","2021-09-10",29.64
"552","A003","2021-09-10",25.39
"553","A005","2021-09-10",8.84
"554","A007","2021-09-10",13.25
"555","A008","2021-09-10",20.55
"556","A009","2021-09-10",4.69
"557","A010","2021-09-10",7.4
"558","A011","2021-09-10",15.07
"559","A012","2021-09-10",21.74
"560","A013","2021-09-10",29.28
"561","A014","2021-09-10",3.46
"562","A015","2021-09-10",2.59
"563","A016","2021-09-10",11.77
"564","A017","2021-09-10",2.52
"565","A018","2021-09-10",17.52
"566","A019","2021-09-10",20.21
"567","A020","2021-09-10",0.91
"568","A021","2021-09-10",5.17
"569","A036","2021-09-10",5.96
"570","A037","2021-09-10",17.06
"571","A038","2021-09-10",10.07
"572","A039","2021-09-10",17.4
"573","A041","2021-09-10",17.4
"574","A042","2021-09-10",3.2
"575","A043","2021-09-10",2.81
"576","A044","2021-09-10",4.7
"577","A046","2021-09-10",6.77
"578","A047","2021-09-10",16.41
"579","A048","2021-09-10",3.04
"580","A049","2021-09-10",12.24
"581","A051","2021-09-10",5.47
"582","A053","2021-09-10",3.69
"583","A054","2021-09-10",10.61
"584","A056","2021-09-10",0
"585","A057","2021-09-10",13.21
"586","A059","2021-09-10",31.86
"587","A060","2021-09-10",7.83
"588","A061","2021-09-10",3.54
"589","A062","2021-09-10",9.75
"590","A063","2021-09-10",5.39
"591","A064","2021-09-10",22.68
"592","A065","2021-09-10",52.55
"593","A066","2021-09-10",23.89
"594","A067","2021-09-10",7.19
"595","A068","2021-09-10",37.7
"596","A069","2021-09-10",47.83
"597","A070","2021-09-10",35.94
"598","A071","2021-09-10",14.13
"599","A073","2021-09-10",7.41
"600","A074","2021-09-10",30.44
"601","A075","2021-09-10",27.14
"602","A076","2021-09-10",7.09
"603","A077","2021-09-10",5.79
"604","A078","2021-09-10",13.5
"605","A079","2021-09-10",57.48
"606","A080","2021-09-10",10.89
"607","A081","2021-09-10",62.85
"608","A082","2021-09-10",8.69
"609","A083","2021-09-10",6.89
"610","A084","2021-09-10",22.42
"611","A095","2021-09-10",0
"612","A098","2021-09-10",0
"613","A099","2021-09-10",0
"614","A170","2021-09-10",6.56
"615","A190","2021-09-10",21.87
"616","A192","2021-09-10",8.69
"617","A193","2021-09-10",39.99
"618","A194","2021-09-10",29.65
"619","A195","2021-09-10",0
"620","A196","2021-09-10",35.49
"621","A209","2021-09-10",10.75
"622","A225","2021-09-10",0
"623","A227","2021-09-10",17.85
"624","A230","2021-09-10",1.8
"625","A233","2021-09-10",0
"626","A235","2021-09-10",4.94
"627","A243","2021-09-10",2.16
"628","A244","2021-09-10",3.56
"629","A252","2021-09-10",0
"630","A253","2021-09-10",5.1
"631","A255","2021-09-10",6.33
"632","A287","2021-09-10",8.27
"633","A302","2021-09-10",20.63
"634","A304","2021-09-10",9.3
"635","A305","2021-09-10",0
"636","A306","2021-09-10",2.94
"637","A307","2021-09-10",7.12
"638","A334","2021-09-10",17.24
"639","A364","2021-09-10",0
"640","A365","2021-09-10",0
"641","A366","2021-09-10",0
"642","A368","2021-09-10",0
"643","A378","2021-09-10",0
"644","A379","2021-09-10",0
"645","A382","2021-09-10",0
"646","A402","2021-09-10",0
"647","A405","2021-09-10",0
"648","A406","2021-09-10",0
"649","A408","2021-09-10",0
"650","A410","2021-09-10",0
"651","A417","2021-09-10",0
"652","A422","2021-09-10",0
"653","A429","2021-09-10",0
"654","A431","2021-09-10",0
"655","A432","2021-09-10",0
"656","A433","2021-09-10",3.53
"657","A445","2021-09-10",0
"658","A446","2021-09-10",0
"659","A460","2021-09-10",0
"660","A466","2021-09-10",0
"661","A469","2021-09-10",0
"662","A510","2021-09-10",0
"663","A511","2021-09-10",3.81
"664","A544","2021-09-10",5.67
"665","A546","2021-09-10",0
"666","A547","2021-09-10",0
"667","A605","2021-09-10",38.79
"668","A606","2021-09-10",6.44
"669","A611","2021-09-10",0
"670","A613","2021-09-10",0
"671","A614","2021-09-10",0
"672","A674","2021-09-10",11.5
"673","A680","2021-09-10",20.35
"674","A711","2021-09-10",3.33
"675","A712","2021-09-10",4.54
"676","A713","2021-09-10",8.44
"677","A714","2021-09-10",42.89
"678","A715","2021-09-10",40.76
"679","A716","2021-09-10",16.28
"680","A717","2021-09-10",25.49
"681","A718","2021-09-10",13.05
"682","A720","2021-09-10",3
"683","A721","2021-09-10",112.84
"684","A722","2021-09-10",9.51
"685","A723","2021-09-10",2.84
"686","A724","2021-09-10",10.17
"687","A725","2021-09-10",5.94
"688","A727","2021-09-10",6.26
"689","A728","2021-09-10",3.08
"690","A729","2021-09-10",5.34
"691","A730","2021-09-10",12.6
"692","A732","2021-09-10",5.79
"693","A733","2021-09-10",0
"694","A736","2021-09-10",7.37
"695","A738","2021-09-10",0
"696","A739","2021-09-10",0
"697","A740","2021-09-10",0
"698","A741","2021-09-10",0
"699","A742","2021-09-10",0
"700","A744","2021-09-10",0
"701","A745","2021-09-10",0
"702","A748","2021-09-10",0
"703","A750","2021-09-10",0
"704","A751","2021-09-10",0
"705","A756","2021-09-10",0
"706","A785","2021-09-10",3.75
"707","A786","2021-09-10",9.43
"708","A793","2021-09-10",0
"709","A796","2021-09-10",13.09
"710","A797","2021-09-10",5.9
"711","A798","2021-09-10",12.5
"712","A801","2021-09-10",6.56
"713","A802","2021-09-10",108.33
"714","A804","2021-09-10",0
"715","A838","2021-09-10",12.17
"716","A839","2021-09-10",0
"717","A841","2021-09-10",0
"718","A842","2021-09-10",0
"719","A843","2021-09-10",0
"720","A844","2021-09-10",0
"721","A845","2021-09-10",0
"722","A850","2021-09-10",0
"723","A851","2021-09-10",0
"724","A852","2021-09-10",7.05
"725","A853","2021-09-10",21.75
"726","A855","2021-09-10",18.18
"727","A856","2021-09-10",5.2
"728","A858","2021-09-10",7.97
"729","A859","2021-09-10",0
"730","A995","2021-09-10",0
"731","A997","2021-09-10",0
"732","A999","2021-09-10",21.09
"733","A001","2021-09-11",20.95
"734","A002","2021-09-11",26.42
"735","A003","2021-09-11",28.34
"736","A005","2021-09-11",6.73
"737","A007","2021-09-11",6.08
"738","A008","2021-09-11",43.48
"739","A009","2021-09-11",2.16
"740","A010","2021-09-11",5.29
"741","A011","2021-09-11",30.63
"742","A012","2021-09-11",25.52
"743","A013","2021-09-11",29.64
"744","A014","2021-09-11",16.25
"745","A015","2021-09-11",1.92
"746","A016","2021-09-11",3.27
"747","A017","2021-09-11",5.03
"748","A018","2021-09-11",12.74
"749","A019","2021-09-11",3.55
"750","A020","2021-09-11",2.43
"751","A021","2021-09-11",1.65
"752","A036","2021-09-11",11.36
"753","A037","2021-09-11",13.07
"754","A038","2021-09-11",5.52
"755","A039","2021-09-11",23.26
"756","A041","2021-09-11",4.29
"757","A042","2021-09-11",3.87
"758","A043","2021-09-11",2.06
"759","A044","2021-09-11",2.53
"760","A046","2021-09-11",16.7
"761","A047","2021-09-11",3
"762","A048","2021-09-11",1.98
"763","A049","2021-09-11",9.45
"764","A051","2021-09-11",0
"765","A053","2021-09-11",0
"766","A054","2021-09-11",12.19
"767","A056","2021-09-11",0
"768","A057","2021-09-11",9.33
"769","A059","2021-09-11",15.77
"770","A060","2021-09-11",4.51
"771","A061","2021-09-11",2.03
"772","A062","2021-09-11",0
"773","A063","2021-09-11",6.34
"774","A064","2021-09-11",6.67
"775","A065","2021-09-11",27.42
"776","A066","2021-09-11",7.26
"777","A067","2021-09-11",2.72
"778","A068","2021-09-11",12.86
"779","A069","2021-09-11",3.5
"780","A070","2021-09-11",9.15
"781","A071","2021-09-11",4.68
"782","A073","2021-09-11",20.24
"783","A074","2021-09-11",32.07
"784","A075","2021-09-11",24.35
"785","A076","2021-09-11",7.3
"786","A077","2021-09-11",7.98
"787","A078","2021-09-11",13.37
"788","A079","2021-09-11",28.14
"789","A080","2021-09-11",60.66
"790","A081","2021-09-11",65.29
"791","A082","2021-09-11",27.22
"792","A083","2021-09-11",45.18
"793","A084","2021-09-11",10.47
"794","A095","2021-09-11",0
"795","A098","2021-09-11",0
"796","A099","2021-09-11",0
"797","A170","2021-09-11",3.31
"798","A190","2021-09-11",20.46
"799","A192","2021-09-11",5.7
"800","A193","2021-09-11",12.96
"801","A194","2021-09-11",10.1
"802","A195","2021-09-11",0
"803","A196","2021-09-11",5.75
"804","A209","2021-09-11",2.08
"805","A225","2021-09-11",0
"806","A227","2021-09-11",0
"807","A230","2021-09-11",1.11
"808","A233","2021-09-11",0
"809","A235","2021-09-11",2.69
"810","A243","2021-09-11",2.04
"811","A244","2021-09-11",1.8
"812","A252","2021-09-11",0
"813","A253","2021-09-11",2.8
"814","A255","2021-09-11",14.5
"815","A287","2021-09-11",5.16
"816","A302","2021-09-11",7
"817","A304","2021-09-11",2.46
"818","A305","2021-09-11",0
"819","A306","2021-09-11",65.63
"820","A307","2021-09-11",2.71
"821","A334","2021-09-11",5.25
"822","A364","2021-09-11",0
"823","A365","2021-09-11",0
"824","A366","2021-09-11",0
"825","A368","2021-09-11",0
"826","A378","2021-09-11",0
"827","A379","2021-09-11",0
"828","A382","2021-09-11",0
"829","A402","2021-09-11",0
"830","A405","2021-09-11",0
"831","A406","2021-09-11",0
"832","A408","2021-09-11",0
"833","A410","2021-09-11",0
"834","A417","2021-09-11",0
"835","A422","2021-09-11",0
"836","A429","2021-09-11",0
"837","A431","2021-09-11",0
"838","A432","2021-09-11",0
"839","A433","2021-09-11",1.34
"840","A445","2021-09-11",0
"841","A446","2021-09-11",0
"842","A460","2021-09-11",0
"843","A466","2021-09-11",0
"844","A469","2021-09-11",0
"845","A510","2021-09-11",0
"846","A511","2021-09-11",2.27
"847","A544","2021-09-11",4.33
"848","A546","2021-09-11",0
"849","A547","2021-09-11",0
"850","A605","2021-09-11",55.69
"851","A606","2021-09-11",3.98
"852","A611","2021-09-11",0
"853","A613","2021-09-11",0
"854","A614","2021-09-11",0
